"Is it in the quote, B?",Room,Lab Type,Equipment Name,Equipment Description,Quantity,Item Number,Model,Any other specifics?,cost per unit,cost sum per row
Y,104,"General Biology BIO205, 325, 330",centrifuge micro,microfuge,2,13-100-675,Accuspin 75002461,,,
N,104,"General Biology BIO205, 325, 330",centrifuge,bench top centrifuge,1,,,,,
N,104,"General Biology BIO205, 325, 330",Desktop Computers,Desktop Computers,12,,,,,
N,104,"General Biology BIO205, 325, 330",gel supplies,chromatography chambers solid rectangular,4,,4 x 4 stir plates,,,
Y,104,"General Biology BIO205, 325, 330",gel supplies,Gel Box,4,,Biorad Criterion cell gel box,,,
Y,104,"General Biology BIO205, 325, 330",hot plate with stirrer,hot plate with stirrer,2,SP18425Q,Super Nuova,,,
N,104,"General Biology BIO205, 325, 330",incubator,incubator,2,PR205745R,Precision low temp incubator -10 to 50,,,
N,104,"General Biology BIO205, 325, 330",microscope compound,Compound Microscope,12,,,,,
N,104,"General Biology BIO205, 325, 330",microscope dissecting,Dissecting Microscope,12,,,,,
N,104,"General Biology BIO205, 325, 330",microscope w camera,Camera Microscope,1,,,,,
N,104,"General Biology BIO205, 325, 330",shaker MaxQ4000,shaking incubator,2,SHKE4450              30182 30188,MaxQ4450,,,
N,104,"General Biology BIO205, 325, 330",toploading balance,Toploading Balance,2,,Toploading Balance 1000gx0.01g,,,
N,104,"General Biology BIO205, 325, 330",vortex,shaker vortex,6,,,,,
N,104,"General Biology BIO205, 325, 330",water bath med size shaking,water bath med size shaking,2,,,,,
N,105,"General Biology BIO205, 325, 330 Prep Room",dishwasher,Dishwasher,1,10-359-100,Labconco Steam Scrubber,,,
Y,105,"General Biology BIO205, 325, 330 Prep Room",hot plate with stirrer,hot plate with stirrer,1,SP18425Q,Super Nuova,,,
Y,105,"General Biology BIO205, 325, 330 Prep Room",refrigerator combo,Combo refrigerator/freezer,1,25LCEETSA,Fisher,,,
N,105,"General Biology BIO205, 325, 330 Prep Room",pH meter,pH meter,1,,Accumet,,,
N,105,"General Biology BIO205, 325, 330 Prep Room",precision balance,Precision Balance,1,,,,,
N,105,"General Biology BIO205, 325, 330 Prep Room",shaker orbital,orbital shaker - CO2 resistant,1,,,,,
N,105,"General Biology BIO205, 325, 330 Prep Room",toploading balance,Toploading Balance,1, ,Toploading Balance 1000gx0.01g,,,
N,106,"General Biology BIO 211,212",centrifuge,bench top centrifuge,1,,,,,
N,106,"General Biology BIO 211,212",centrifuge micro,microfuge,2,,,,,
N,106,"General Biology BIO 211,212",hot plate with stirrer,hot plate with stirrer,2,SP18425Q,Super Nuova,,,
N,106,"General Biology BIO 211,212",incubator,incubator,1,,,,,
N,106,"General Biology BIO 211,212",microscope compound,Compound Microscope,12,,,,,
N,106,"General Biology BIO 211,212",microscope dissecting,Dissecting Microscope,12,,,,,
N,106,"General Biology BIO 211,212",microscope w camera,Camera Microscope,1,,,,,
N,106,"General Biology BIO 211,212",shaker MaxQ4000,shaking incubator,1,,,,,
N,106,"General Biology BIO 211,212",Thin Client Computers,Thin Client Computers,12,,,,,
N,106,"General Biology BIO 211,212",toploading balance,Toploading Balance,2,,Toploading Balance 1000gx0.01g,,,
N,106,"General Biology BIO 211,212",vortex,shaker vortex,6,,,,,
N,106,"General Biology BIO 211,212",water bath med size shaking,water bath med size shaking,2,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",beaker,100 mL ,13,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",beaker,25 mL,13,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",beaker,250 mL,13,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",beaker,50 mL,13,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",beaker,600 mL,13,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",erlenmeyer flask,1000 mL,13,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",erlenmeyer flask,125 mL,13,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",erlenmeyer flask,250 mL,13,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",erlenmeyer flask,50 mL,13,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",erlenmeyer flask,500 mL,13,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",graduated cylinder,10 mL,13,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",graduated cylinder,100 mL,13,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",graduated cylinder,25 mL,13,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",graduated cylinder,250 mL,13,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",graduated cylinder,50 mL,13,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",microscope compound,Compound Microscope,12,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",microscope dissecting,Dissecting Microscope,12,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",microscope w camera,Camera Microscope,1,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",Thin Client Computers,Thin Client Computers,12,,,,,
N,111,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",toploading balance,Toploading Balance,7,,scales/balances  1000g x 0.01,,,
N,112,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 Prep Room",minus 20 freezer,-20 freezer for enzymes,1,,,,,
N,112,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 Prep Room",precision balance,Precision Balance,1,,Precision balance (x1)  220g x 0.001,,,
Y,112,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 Prep Room",refrigerator combo,Combo refrigerator/freezer,1,25LCEETSA,Fisher,,,
N,112,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 Prep Room",toploading balance,Toploading Balance,1,1000 x 0.01,,,,
